No,AssetName,Category,ProjectRole,FoundFrom,OriginalSizeX_m,OriginalSizeY_m,OriginalSizeZ_m,SizeX_m,SizeY_m,SizeZ_m,Tri,Texture,TextureCount,MaxTextureWidth,MaxTextureHeight,TextureMaps,Format,SourcePath,Status
1,"PPE_B_Bench","B 설비/환경","PPE룸 환경","Scene",0.295,0.225,0.998,0.590,0.449,1.996,2068,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/ppe_room_bench/PPE_B_Bench.fbx","정상"
2,"PPE_B_MetalLocker","B 설비/환경","PPE룸 환경","Scene",0.303,0.463,0.998,0.605,0.926,1.996,1686,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/metal_locker/PPE_B_MetalLocker.fbx","정상"
3,"PPE_B_MaskLocker","B 설비/환경","마스크 보관·배치 환경","Scene",0.174,0.795,0.998,0.521,2.385,2.994,1838,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/mask_locker/PPE_B_MaskLocker.fbx","정상"
4,"PPE_B_SafetyCabinet","B 설비/환경","PPE룸 환경","Scene",0.579,0.783,0.978,1.158,1.565,1.957,26499,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/safety_cabinet/PPE_B_SafetyCabinet.fbx","정상"
5,"PPE_B_WoodenCrate","B 설비/환경","PPE룸 배경 환경","Project",0.309,0.980,0.392,0.309,0.980,0.392,2065,"2K PBR",1,2048,2048,"_BaseMap","FBX","Assets/FBX/wooden crate/PPE_B_WoodenCrate.fbx","Project 모델 분석"
6,"PPE_B_WallHanger","B 설비/환경","PPE 보관·배치 환경","Scene",0.109,0.979,0.726,3.162,2.492,1.382,16641,"2K PBR",3,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/slat_wall_panel/tripo_convert_0aa7ef29-bd71-4485-a43d-36efff145ba6.fbx","정상"
7,"PPE_B_HandSanitizer","B 설비/환경","PPE룸 환경","Scene",0.799,0.998,0.854,0.639,0.798,0.683,1932,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/hand sanitizer dispenser/PPE_B_HandSanitizer.fbx","정상"
8,"PPE_B_FireExtinguisher","B 설비/환경","PPE룸 배경 환경","Project",0.511,0.284,1.000,0.511,0.284,1.000,4742,"없음",0,0,0,"","FBX","Assets/PPE_B_FireExtinguisher.fbx","Project 모델 분석"
9,"PPE_B_YellowTrashBin","B 설비/환경","PPE룸 배경 환경","Project",0.324,0.448,0.980,0.324,0.448,0.980,2654,"2K PBR",1,2048,2048,"_BaseMap","FBX","Assets/FBX/yellow trash bin/PPE_B_YellowTrashBin.fbx","Project 모델 분석"
10,"PPE_B_StorageWallRack","B 설비/환경","PPE 보관·배치 환경","Scene",0.109,0.979,0.726,0.693,1.773,2.462,15131,"2K PBR",107,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/slat_wall_panel/tripo_convert_0aa7ef29-bd71-4485-a43d-36efff145ba6.fbx","정상"
11,"PPE_B_SuitHanger","B 설비/환경","방호복 보관·배치 환경","Scene",0.451,0.998,0.920,0.902,1.996,1.840,1941,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/hazmat_suit_hanger/PPE_B_SuitHanger.fbx","정상"
12,"PPE_B_CleaningCart","B 설비/환경","PPE룸 배경 환경","Scene",0.506,0.971,0.998,0.911,1.747,1.796,4689,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/cleaning_cart/PPE_B_CleaningCart.fbx","정상"
13,"PPE_B_Duct","B 설비/환경","PPE룸 배경 환경","Scene",0.998,0.865,0.135,7.984,3.461,0.647,4602,"없음",0,0,0,"","FBX","Assets/UIs/Facilities/PPE_Room/Duct/PPE_B_Duct.fbx","정상"
14,"PPE_B_CCTV","B 설비/환경","PPE룸 배경 환경","Project",0.980,0.703,0.886,0.980,0.703,0.886,9363,"2K PBR",45,2048,2048,"_BaseMap, _MainTex","FBX","Assets/TripoModels/outdoor_security_camera_3d_model/PPE_B_CCTV.fbx","Project 모델 분석"
15,"PPE_C_Tablet","C 상호작용 도구","PPE 착용 전 작업 확인","Scene",0.168,0.235,0.011,0.322,0.295,0.006,106,"1K PBR",5,1200,1756,"_BaseMap, _MainTex","FBX","Assets/FBX/Tablet/PPE_C_Tablet.fbx","정상"
16,"PPE_A_SuitHang","A 착용/장비","방호복 진열 상태","Scene",0.502,0.998,0.225,0.716,1.397,0.270,4825,"2K PBR",2,2048,2048,"_BaseMap, _ContaminationMask","FBX","Assets/FBX/hazmat suit/PPE_A_SuitHang.fbx","정상"
17,"PPE_A_SuitWear","A 착용/장비","방호복 착용 상태","Scene",0.486,0.220,0.980,1.006,0.606,1.885,147934,"2K PBR",132,2048,2048,"_BaseMap, _BumpMap, _MainTex, _MetallicGlossMap","FBX","Assets/TripoModels/hazmat_suit_3d_model/PPE_A_SuitWear.fbx","정상"
18,"PPE_A_Boots_L","A 착용/장비","왼쪽 장화","Scene",0.534,1.000,0.659,0.207,0.368,0.255,1971,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/TripoModels/rubber_boots_3d_model_Clone1/PPE_A_Boots_L.fbx","동일 이름 2개 발견 - 첫 번째 분석"
19,"PPE_A_Boots_R","A 착용/장비","오른쪽 장화","Scene",0.411,1.000,0.734,0.159,0.368,0.284,1971,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/TripoModels/rubber_boots_3d_model/PPE_A_Boots_R.fbx","동일 이름 2개 발견 - 첫 번째 분석"
20,"PPE_A_Backplate","A 착용/장비","등지게","Scene",0.650,0.998,0.717,0.540,0.759,0.573,1820,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/TripoModels/tactical_harness_3d_model/PPE_A_Backplate.fbx","동일 이름 2개 발견 - 첫 번째 분석"
21,"PPE_A_Mask","A 착용/장비","송기마스크","Scene",0.927,0.892,1.000,0.284,0.273,0.292,98536,"1K PBR",114,1024,1024,"_BaseMap, _BumpMap, _MainTex, _MetallicGlossMap","FBX","Assets/TripoModels/gas_mask_3d_model_Clone1/PPE_A_Mask.fbx","동일 이름 2개 발견 - 첫 번째 분석"
22,"PPE_A_Helmet_Strap","A 착용/장비","안전모","Scene",0.980,0.977,0.783,0.553,0.450,0.453,9564,"2K PBR",9,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/helmet/PPE_A_Helmet_Strap.fbx","동일 이름 2개 발견 - 첫 번째 분석"
23,"PPE_A_Glove_L","A 착용/장비","왼쪽 장갑","Scene",0.425,0.328,0.980,0.137,0.113,0.313,4880,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/glove_Left/PPE_A_Glove_L.fbx","동일 이름 2개 발견 - 첫 번째 분석"
24,"PPE_A_Glove_R","A 착용/장비","오른쪽 장갑","Scene",0.412,0.303,0.979,0.136,0.102,0.312,4868,"2K PBR",1,2048,2048,"_BaseMap, _MainTex","FBX","Assets/FBX/glove_Right/PPE_A_Glove_R.fbx","동일 이름 2개 발견 - 첫 번째 분석"
25,"PPE_A_Tape","A 착용/장비","테이핑","Scene",0.519,0.978,0.980,0.159,0.116,0.155,4534,"2K PBR",3,2048,2048,"_BaseMap, _BumpMap, _MainTex, _MetallicGlossMap","FBX","Assets/TripoModels/orange_tape_roll_3d_model/PPE_A_Tape.fbx","정상"
26,"PPE_A_Taped","A 착용/장비","테이핑 적용 상태","Project",0.430,0.978,0.980,0.430,0.978,0.980,4877,"2K PBR",2,2048,2048,"_BaseMap, _BumpMap, _MainTex","FBX","Assets/FBX/taped/PPE_A_Taped.fbx","Project 모델 분석"
27,"PPE_A_Hand_Bare_L","A 착용/장비","왼손 맨손 상태","Scene",0.165,0.112,0.203,0.165,0.112,0.203,2702,"없음",0,0,0,"","FBX","Assets/FBX/hand/BareHand/PPE_A_Hand_Bare_L.fbx","정상"
28,"PPE_A_Hand_Bare_R","A 착용/장비","오른손 맨손 상태","Scene",0.174,0.110,0.203,0.174,0.110,0.203,2702,"없음",0,0,0,"","FBX","Assets/FBX/hand/BareHand/PPE_A_Hand_Bare_R.fbx","정상"
29,"PPE_A_Hand_Suit_L","A 착용/장비","왼손 방호복 착용 상태","Scene",0.168,0.121,0.334,0.168,0.121,0.334,23310,"없음",0,0,0,"","FBX","Assets/FBX/hand/BareHand_Suit/PPE_A_Hand_Suit_L.fbx","정상"
30,"PPE_A_Hand_Suit_R","A 착용/장비","오른손 방호복 착용 상태","Scene",0.174,0.117,0.332,0.174,0.117,0.332,23310,"없음",0,0,0,"","FBX","Assets/FBX/hand/BareHand_Suit/PPE_A_Hand_Suit_R.fbx","정상"
31,"PPE_A_Hand_GloveSuit_L","A 착용/장비","왼손 방호복+장갑 상태","Scene",0.168,0.121,0.334,0.168,0.257,0.334,23310,"없음",0,0,0,"","FBX","Assets/FBX/hand/Glove_Suit/PPE_A_Hand_GloveSuit_L.fbx","정상"
32,"PPE_A_Hand_GloveSuit_R","A 착용/장비","오른손 방호복+장갑 상태","Scene",0.176,0.118,0.334,0.176,0.137,0.334,23310,"없음",0,0,0,"","FBX","Assets/FBX/hand/Glove_Suit/PPE_A_Hand_GloveSuit_R.fbx","정상"
33,"PPE_A_Hand_GloveTape_L","A 착용/장비","왼손 방호복+장갑+테이핑 상태","Scene",0.168,0.121,0.334,0.168,0.121,0.334,34936,"없음",0,0,0,"","FBX","Assets/FBX/hand/Glove_Suit_Tape/PPE_A_Hand_GloveTape_L.fbx","정상"
34,"PPE_A_Hand_GloveTape_R","A 착용/장비","오른손 방호복+장갑+테이핑 상태","Scene",0.176,0.118,0.334,0.176,0.118,0.334,34936,"없음",0,0,0,"","FBX","Assets/FBX/hand/Glove_Suit_Tape/PPE_A_Hand_GloveTape_R.fbx","정상"
